Entity,Entity_Type,Links_To,Relationship,Description,Category,Importance,Tags,Action_For_Interview
Jordan Mazer,Person,a16z speedrun,Works_At,"Partner at a16z speedrun for 3+ years; focuses on talent and early-stage founders",Identity,Critical,person|vc|recruiter,Know his exact title and team before the interview
Jordan Mazer,Person,Riot Games,Previously_At,"Led recruiting at Riot Games; made 37 hires in year 1 when expectation was 2; promoted 4x",Identity,Critical,person|gaming|career-history,Reference his Riot background to show you did research
Jordan Mazer,Person,Amazon,Interviewed_At,"Received offers from Amazon Google Facebook Airbnb a16z Riot - has been on both sides of the table",Identity,High,person|bigtech|experience,Shows he understands what great hiring looks like from candidate side
Jordan Mazer,Person,15 Years Recruiting,Metric,"15 years in recruiting across agency startups and VC",Identity,Critical,person|experience|expertise,Signals deep expertise - don't try to teach him basics
Jordan Mazer,Person,30000 Interviews,Metric,"Has conducted approximately 30000 interviews throughout career",Identity,Critical,person|metric|scale,He has seen every trick - be genuine not performative
Jordan Mazer,Person,Quiznos,First_Job,"First job was at Quiznos - proud that non-elite path led to elite outcomes",Identity,High,person|background|underdog,He resonates with non-obvious profiles and hustle narratives
Jordan Mazer,Person,Orlando Florida,Grew_Up_In,"Grew up in backwater Orlando - not a Silicon Valley native; went to non-elite college",Identity,High,person|background|authenticity,Don't pretend to be someone you're not - he values the underdog
Jordan Mazer,Person,Running,Personal_Passion,"Runs 40+ miles per week; averages 7:45 pace; has run 16+ half marathons in 4 months",Personal,High,person|fitness|discipline,Mention fitness or discipline if it comes up naturally - he connects with it
Jordan Mazer,Person,Claude Code,Uses_Daily,"Uses Claude Code for vibe coding; built first hosted website; excited about AI tools",Personal,High,person|ai|tools,He is genuinely excited about Claude - mentioning this could be a rapport builder
Jordan Mazer,Person,LinkedIn Content,Creates_Daily,"330k+ followers; posts every day before 7:30am; 100M+ impressions",Personal_Branding,Critical,person|content|linkedin,He values consistency and discipline in output
Jordan Mazer,Person,Eric Danker,Mentored_By,"First manager who gave feedback Jordan could receive without getting defensive; promoted him 4x at Riot",Relationship,High,person|mentor|manager,Shows what he values in a manager - caring + critical = turbo fuel
Jordan Mazer,Person,Andrew Chen,Works_With,"Boss at a16z speedrun; encouraged OLAD posting strategy; runs speedrun investing team",Relationship,High,person|colleague|a16z,Andrew Chen is his direct boss and a key figure
Jordan Mazer,Person,Bella Nazzari,Colleague,"Colleague on a16z speedrun talent team; also does hiring content on LinkedIn",Relationship,Medium,person|colleague|talent,Know the full team if you can
Jordan Mazer,Person,Jordan Carver,Colleague,"Colleague on a16z speedrun talent team; ex-Riot Games; often embarrassed by Jordan's sign photos",Relationship,Medium,person|colleague|humor,The sign guy meme is self-aware - he knows he's cringe and owns it
a16z speedrun,Organization,300 Portfolio Companies,Has,"Speedrun has invested in 300+ early stage companies with $300M+ deployed",Organization,Critical,vc|portfolio|scale,Show you understand the scope of what he manages
a16z speedrun,Organization,Talent Network,Operates,"Connects job seekers to portfolio companies; placed hundreds of engineers designers PMs",Organization,Critical,vc|talent|hiring,He runs the talent operation not just advises on it
a16z speedrun,Organization,Alpha Fellowship,Runs,"Fellowship for students and recent grads; 15 fellows selected from 10000+ applicants",Program,High,vc|program|students,Highly competitive program he is actively marketing
a16z speedrun Alpha,Program,Founder Track,Contains,"$20k equity-free grant + up to $250k investment; build full-time this summer",Program,Critical,fellowship|funding|founders,He is very proud of this program - understand both tracks
a16z speedrun Alpha,Program,Joiner Track,Contains,"Placed at fast-growing portco in full-time founding engineer role (not internship)",Program,Critical,fellowship|jobs|engineers,Key distinction - full time not internship
a16z speedrun Alpha,Program,Marc Andreessen,Features,"Both tracks include time with Marc Andreessen and Andrew Chen",Program,High,fellowship|network|mentorship,The network access is a key selling point he emphasizes
Inbound Applicants,Opinion,Hiring Teams,Jordan_Defends,"Jordan actively fights for applicants; believes hiring teams have psychological dysfunction dismissing them",Hiring_Philosophy,Critical,hiring|bias|advocacy,Do NOT say you only respond to sourced candidates - he will push back hard
